,,,,,,,,
,,,,,,,,
年,月,情報通信業,,,,,,
平成14年,1月,(153),,,,,,
,2月,(156),,,,,,
,3月,(156),,,,,,
,4月,(159),,,,,,
,5月,(157),,,,,,
,6月,(159),,,,,,
,7月,(160),,,,,,
,8月,(164),,,,,,
,9月,(171),,,,,,
,10月,(160),,,,,,
,11月,(148),,,,,,
,12月,(152),,,,,,
平成15年,1月,(153),,,,,,
,2月,(152),,,,,,
,3月,(155),,,,,,
,4月,(164),,,,,,
,5月,(173),,,,,,
,6月,(177),,,,,,
,7月,(177),,,,,,
,8月,(176),,,,,,
,9月,(167),,,,,,
,10月,(161),,,,,,
,11月,(152),,,,,,
,12月,(149),,,,,,
平成16年,1月,(158),,,,,,
,2月,(164),,,,,,
,3月,(171),,,,,,
,4月,(182),,,,,,
,5月,(182),,,,,,
,6月,(179),,,,,,
,7月,(178),,,,,,
,8月,(176),,,,,,
,9月,(174),,,,,,
,10月,(171),,,,,,
,11月,(156),,,,,,
,12月,(159),,,,,,
平成17年,1月,(163),,,,,,
,2月,(163),,,,,,
,3月,(171),,,,,,
,4月,(180),,,,,,
,5月,(180),,,,,,
,6月,(178),,,,,,
,7月,(172),,,,,,
,8月,(174),,,,,,
,9月,(180),,,,,,
,10月,(178),,,,,,
,11月,(179),,,,,,
,12月,(184),,,,,,
平成18年,1月,(173),,,,,,
,2月,(173),,,,,,
,3月,(177),,,,,,
,4月,(184),,,,,,
,5月,(184),,,,,,
,6月,(180),,,,,,
,7月,(178),,,,,,
,8月,(181),,,,,,
,9月,(188),,,,,,
,10月,(180),,,,,,
,11月,(178),,,,,,
,12月,(179),,,,,,
平成19年,1月,188 ,,,,,,
,2月,204 ,,,,,,
,3月,202 ,,,,,,
,4月,194 ,,,,,,
,5月,189 ,,,,,,
,6月,195 ,,,,,,
,7月,185 ,,,,,,
,8月,186 ,,,,,,
,9月,190 ,,,,,,
,10月,187 ,,,,,,
,11月,190 ,,,,,,
,12月,191 ,,,,,,
平成20年,1月,190 ,,,,,,
,2月,193 ,,,,,,
,3月,183 ,,,,,,
,4月,175 ,,,,,,
,5月,186 ,,,,,,
,6月,190 ,,,,,,
,7月,187 ,,,,,,
,8月,193 ,,,,,,
,9月,200 ,,,,,,
,10月,197 ,,,,,,
,11月,191 ,,,,,,
,12月,195 ,,,,,,
平成21年,1月,196 ,,,,,,
,2月,201 ,,,,,,
,3月,192 ,,,,,,
,4月,190 ,,,,,,
,5月,188 ,,,,,,
,6月,182 ,,,,,,
,7月,190 ,,,,,,
,8月,195 ,,,,,,
,9月,193 ,,,,,,
,10月,200 ,,,,,,
,11月,201 ,,,,,,
,12月,200 ,,,,,,
平成22年,1月,197 ,,,,,,
,2月,197 ,,,,,,
,3月,190 ,,,,,,
,4月,194 ,,,,,,
,5月,203 ,,,,,,
,6月,200 ,,,,,,
,7月,191 ,,,,,,
,8月,196 ,,,,,,
,9月,204 ,,,,,,
,10月,206 ,,,,,,
,11月,197 ,,,,,,
,12月,190 ,,,,,,
平成23年,1月,194 ,,,,,,
,2月,195 ,,,,,,
,3月, <185>,,,,,,
,4月, <181>,,,,,,
,5月, <182>,,,,,,
,6月, <191>,,,,,,
,7月, <190>,,,,,,
,8月, <182>,,,,,,
,9月,199 ,,,,,,
,10月,198 ,,,,,,
,11月,194 ,,,,,,
,12月,194 ,,,,,,
平成24年,1月,204 ,,,,,,
,2月,197 ,,,,,,
,3月,191 ,,,,,,
,4月,189 ,,,,,,
,5月,180 ,,,,,,
,6月,184 ,,,,,,
,7月,182 ,,,,,,
,8月,177 ,,,,,,
,9月,191 ,,,,,,
,10月,187 ,,,,,,
,11月,181 ,,,,,,
,12月,191 ,,,,,,
平成25年,1月,192 ,,,,,,
,2月,184 ,,,,,,
,3月,188 ,,,,,,
,4月,189 ,,,,,,
,5月,198 ,,,,,,
,6月,198 ,,,,,,
,7月,195 ,,,,,,
,8月,195 ,,,,,,
,9月,197 ,,,,,,
,10月,198 ,,,,,,
,11月,191 ,,,,,,
,12月,186 ,,,,,,
平成26年,1月,197 ,,,,,,
,2月,204 ,,,,,,
,3月,205 ,,,,,,
,4月,195 ,,,,,,
,5月,202 ,,,,,,
,6月,207 ,,,,,,
,7月,212 ,,,,,,
,8月,203 ,,,,,,
,9月,202 ,,,,,,
,10月,212 ,,,,,,
,11月,205 ,,,,,,
,12月,202 ,,,,,,
平成27年,1月,203 ,,,,,,
,2月,201 ,,,,,,
,3月,199 ,,,,,,
,4月,210 ,,,,,,
,5月,213 ,,,,,,
,6月,219 ,,,,,,
,7月,217 ,,,,,,
,8月,205 ,,,,,,
,9月,216 ,,,,,,
,10月,214 ,,,,,,
,11月,209 ,,,,,,
,12月,208 ,,,,,,
平成28年,1月,201 ,,,,,,
,2月,194 ,,,,,,
,3月,205 ,,,,,,
,4月,212 ,,,,,,
,5月,212 ,,,,,,
,6月,210 ,,,,,,
,7月,206 ,,,,,,
,8月,204 ,,,,,,
,9月,219 ,,,,,,
,10月,214 ,,,,,,
,11月,213 ,,,,,,
,12月,205 ,,,,,,
平成29年,1月,199 ,,,,,,
,2月,208 ,,,,,,
,3月,212 ,,,,,,
,4月,218 ,,,,,,
,5月,216 ,,,,,,
,6月,217 ,,,,,,
,7月,205 ,,,,,,
,8月,199 ,,,,,,
,9月,221 ,,,,,,
,10月,231 ,,,,,,
,11月,213 ,,,,,,
,12月,210 ,,,,,,
平成30年,1月,209 ,,,,,,
,2月,213 ,,,,,,
,3月,226 ,,,,,,
,4月,231 ,,,,,,
,5月,231 ,,,,,,
,6月,217 ,,,,,,
,7月,222 ,,,,,,
,8月,218 ,,,,,,
,9月,217 ,,,,,,
,10月,233 ,,,,,,
,11月,216 ,,,,,,
,12月,219 ,,,,,,
平成31年,1月,229 ,,,,,,
,2月,236 ,,,,,,
,3月,227 ,,,,,,
,4月,223 ,,,,,,
令和元年,5月,225 ,,,,,,
,6月,228 ,,,,,,
,7月,244 ,,,,,,
,8月,234 ,,,,,,
,9月,221 ,,,,,,
,10月,226 ,,,,,,
,11月,229 ,,,,,,
,12月,237 ,,,,,,
令和 2年,1月,245 ,,,,,,
,2月,231 ,,,,,,
,3月,229 ,,,,,,
,4月,243 ,,,,,,
,5月,240 ,,,,,,
,6月,231 ,,,,,,
,7月,250 ,,,,,,
,8月,245 ,,,,,,
,9月,240 ,,,,,,
,10月,233 ,,,,,,
,11月,249 ,,,,,,
,12月,259 ,,,,,,
令和 3年,1月,255 ,,,,,,
,2月,244 ,,,,,,
,3月,254 ,,,,,,
,4月,259 ,,,,,,
,5月,250 ,,,,,,
,6月,258 ,,,,,,
,7月,259 ,,,,,,
,8月,255 ,,,,,,
,9月,261 ,,,,,,
,10月,257 ,,,,,,
,11月,272 ,,,,,,
,12月,274 ,,,,,,
令和 4年,1月,251 ,,,,,,
,2月,252 ,,,,,,
,3月,264 ,,,,,,
,4月,273 ,,,,,,
,5月,272 ,,,,,,
,6月,281 ,,,,,,
,7月,290 ,,,,,,
,8月,273 ,,,,,,
,9月,281 ,,,,,,
,10月,277 ,,,,,,
,11月,277 ,,,,,,
,12月,269 ,,,,,,
令和 5年,1月,253 ,,,,,,
,2月,262 ,,,,,,
,3月,275 ,,,,,,
,4月,283 ,,,,,,
,5月,285 ,,,,,,
,6月,275 ,,,,,,
,7月,279 ,,,,,,
,8月,279 ,,,,,,
,9月,281 ,,,,,,
,10月,285 ,,,,,,
,11月,287 ,,,,,,
,12月,288 ,,,,,,
令和 6年,1月,278 ,,,,,,
,2月,285 ,,,,,,
,3月,290 ,,,,,,
,4月,292 ,,,,,,
,5月,289 ,,,,,,
,6月,276 ,,,,,,
,7月,283 ,,,,,,
,8月,298 ,,,,,,
,9月,303 ,,,,,,
,10月,307 ,,,,,,
,11月,304 ,,,,,,
,12月,296 ,,,,,,
令和 7年,1月,275 ,,,,,,
,2月,284 ,,,,,,
,3月,285 ,,,,,,
,4月,302 ,,,,,,
,5月,304 ,,,,,,
,6月,313 ,,,,,,
,7月,313 ,,,,,,
,8月,300 ,,,,,,
,9月,300 ,,,,,,
,10月,312 ,,,,,,
,11月,323 ,,,,,,
,12月,309 ,,,,,,
令和 8年,1月,292 ,,,,,,
,2月,296 ,,,,,,
,3月,299 ,,,,,,
,4月,304 ,,,,,,
